Entity,Code,Year,Cocoa beans | 00000661 || Production | 005510 || tonnes
Ghana,GHA,1961,415200
Ghana,GHA,1962,428100
Ghana,GHA,1963,427800
Ghana,GHA,1964,580500
Ghana,GHA,1965,415800
Ghana,GHA,1966,381100
Ghana,GHA,1967,423500
Ghana,GHA,1968,327000
Ghana,GHA,1969,414300
Ghana,GHA,1970,406000
Ghana,GHA,1971,470000
Ghana,GHA,1972,415700
Ghana,GHA,1973,343000
Ghana,GHA,1974,385100
Ghana,GHA,1975,397300
Ghana,GHA,1976,326700
Ghana,GHA,1977,277400
Ghana,GHA,1978,268200
Ghana,GHA,1979,280800
Ghana,GHA,1980,277200
Ghana,GHA,1981,246500
Ghana,GHA,1982,202500
Ghana,GHA,1983,168100
Ghana,GHA,1984,166700
Ghana,GHA,1985,194400
Ghana,GHA,1986,226400
Ghana,GHA,1987,188170
Ghana,GHA,1988,246700
Ghana,GHA,1989,295052
Ghana,GHA,1990,293355
Ghana,GHA,1991,241796
Ghana,GHA,1992,312122
Ghana,GHA,1993,254652
Ghana,GHA,1994,288075
Ghana,GHA,1995,403900
Ghana,GHA,1996,403000
Ghana,GHA,1997,322490
Ghana,GHA,1998,409360
Ghana,GHA,1999,434200
Ghana,GHA,2000,436600
Ghana,GHA,2001,389591
Ghana,GHA,2002,340562
Ghana,GHA,2003,497000
Ghana,GHA,2004,737000
Ghana,GHA,2005,740000
Ghana,GHA,2006,734000
Ghana,GHA,2007,614500
Ghana,GHA,2008,680781
Ghana,GHA,2009,710638
Ghana,GHA,2010,632037.4
Ghana,GHA,2011,700020
Ghana,GHA,2012,879348
Ghana,GHA,2013,835466
Ghana,GHA,2014,858720
Ghana,GHA,2015,858720
Ghana,GHA,2016,858720
Ghana,GHA,2017,969300
Ghana,GHA,2018,904700
Ghana,GHA,2019,811700
Ghana,GHA,2020,800000
Ghana,GHA,2021,1047385
Ghana,GHA,2022,683300
Ghana,GHA,2023,653700
