YearMonth,Exchange_Rate,Country - Currency Description
Oct-94,0.0995,Ghana-Cedi
Nov-94,0.1023,Ghana-Cedi
Jan-95,0.105,Ghana-Cedi
Feb-95,0.107,Ghana-Cedi
Mar-95,0.1108,Ghana-Cedi
Apr-95,0.1137,Ghana-Cedi
May-95,0.1155,Ghana-Cedi
Jun-95,0.1177,Ghana-Cedi
Jul-95,0.1204,Ghana-Cedi
Aug-95,0.1215,Ghana-Cedi
Sep-95,0.1335,Ghana-Cedi
Oct-95,0.1355,Ghana-Cedi
Nov-95,0.1425,Ghana-Cedi
Dec-95,0.1453,Ghana-Cedi
Jan-96,0.1501,Ghana-Cedi
Feb-96,0.1544,Ghana-Cedi
Mar-96,0.158,Ghana-Cedi
Apr-96,0.1608,Ghana-Cedi
May-96,0.1632,Ghana-Cedi
Jun-96,0.1665,Ghana-Cedi
Jul-96,0.1687,Ghana-Cedi
Aug-96,0.168,Ghana-Cedi
Sep-96,0.1715,Ghana-Cedi
Oct-96,0.1723,Ghana-Cedi
Nov-96,0.1734,Ghana-Cedi
Dec-96,0.174,Ghana-Cedi
Jan-97,0.1754,Ghana-Cedi
Feb-97,0.1835,Ghana-Cedi
Mar-97,0.191,Ghana-Cedi
Apr-97,0.197,Ghana-Cedi
May-97,0.2026,Ghana-Cedi
Jun-97,0.2115,Ghana-Cedi
Jul-97,0.213,Ghana-Cedi
Aug-97,0.2185,Ghana-Cedi
Sep-97,0.2225,Ghana-Cedi
Oct-97,0.223,Ghana-Cedi
Nov-97,0.224,Ghana-Cedi
Dec-97,0.226,Ghana-Cedi
Jan-98,0.229,Ghana-Cedi
Feb-98,0.23,Ghana-Cedi
Mar-98,0.2315,Ghana-Cedi
Apr-98,0.2323,Ghana-Cedi
May-98,0.233,Ghana-Cedi
Jun-98,0.2329,Ghana-Cedi
Jul-98,0.2348,Ghana-Cedi
Aug-98,0.2325,Ghana-Cedi
Sep-98,0.2325,Ghana-Cedi
Oct-98,0.234,Ghana-Cedi
Nov-98,0.235,Ghana-Cedi
Dec-98,0.234,Ghana-Cedi
Jan-99,0.2355,Ghana-Cedi
Feb-99,0.2365,Ghana-Cedi
Mar-99,0.2418,Ghana-Cedi
Apr-99,0.2515,Ghana-Cedi
May-99,0.2433,Ghana-Cedi
Jun-99,0.2551,Ghana-Cedi
Jul-99,0.2602,Ghana-Cedi
Aug-99,0.2647,Ghana-Cedi
Sep-99,0.2706,Ghana-Cedi
Oct-99,0.3005,Ghana-Cedi
Nov-99,0.3386,Ghana-Cedi
Dec-99,0.3453,Ghana-Cedi
Jan-00,0.3529,Ghana-Cedi
Feb-00,0.3771,Ghana-Cedi
Mar-00,0.4057,Ghana-Cedi
Apr-00,0.483,Ghana-Cedi
May-00,0.4725,Ghana-Cedi
Jun-00,0.54,Ghana-Cedi
Jul-00,0.6075,Ghana-Cedi
Aug-00,0.705,Ghana-Cedi
Sep-00,0.6534,Ghana-Cedi
Oct-00,0.725,Ghana-Cedi
Nov-00,0.714,Ghana-Cedi
Dec-00,0.6825,Ghana-Cedi
Jan-01,0.6899,Ghana-Cedi
Feb-01,0.7016,Ghana-Cedi
Mar-01,0.705,Ghana-Cedi
Apr-01,0.7135,Ghana-Cedi
May-01,0.76,Ghana-Cedi
Jun-01,0.7149,Ghana-Cedi
Jul-01,0.715,Ghana-Cedi
Aug-01,0.7218,Ghana-Cedi
Sep-01,0.709,Ghana-Cedi
Nov-01,0.725,Ghana-Cedi
Jan-02,0.7325,Ghana-Cedi
Feb-02,0.76,Ghana-Cedi
Mar-02,0.7675,Ghana-Cedi
Apr-02,0.796,Ghana-Cedi
May-02,0.8005,Ghana-Cedi
Jun-02,0.7923,Ghana-Cedi
Jul-02,0.809,Ghana-Cedi
Aug-02,0.8163,Ghana-Cedi
Sep-02,0.8142,Ghana-Cedi
Oct-02,0.826,Ghana-Cedi
Nov-02,0.8375,Ghana-Cedi
Dec-02,0.8352,Ghana-Cedi
Jan-03,0.8375,Ghana-Cedi
Feb-03,0.83,Ghana-Cedi
Mar-03,0.8375,Ghana-Cedi
Apr-03,0.8635,Ghana-Cedi
May-03,0.8675,Ghana-Cedi
Jun-03,0.868,Ghana-Cedi
Jul-03,0.845,Ghana-Cedi
Aug-03,0.855,Ghana-Cedi
Sep-03,0.855,Ghana-Cedi
Oct-03,0.8538,Ghana-Cedi
Nov-03,0.88,Ghana-Cedi
Dec-03,0.865,Ghana-Cedi
Jan-04,0.8675,Ghana-Cedi
Feb-04,0.88,Ghana-Cedi
Mar-04,0.8813,Ghana-Cedi
Apr-04,0.885,Ghana-Cedi
May-04,0.9008,Ghana-Cedi
Jun-04,0.9,Ghana-Cedi
Jul-04,0.9032,Ghana-Cedi
Aug-04,0.9012,Ghana-Cedi
Sep-04,0.901,Ghana-Cedi
Oct-04,0.9,Ghana-Cedi
Nov-04,0.902,Ghana-Cedi
Dec-04,0.9,Ghana-Cedi
Jan-05,0.9,Ghana-Cedi
Feb-05,0.9018,Ghana-Cedi
Mar-05,0.9025,Ghana-Cedi
Apr-05,0.9027,Ghana-Cedi
May-05,0.9025,Ghana-Cedi
Jun-05,0.9038,Ghana-Cedi
Jul-05,0.904,Ghana-Cedi
Aug-05,0.905,Ghana-Cedi
Sep-05,0.9062,Ghana-Cedi
Oct-05,0.9075,Ghana-Cedi
Nov-05,0.91,Ghana-Cedi
Dec-05,0.91,Ghana-Cedi
Jan-06,0.9095,Ghana-Cedi
Feb-06,0.914,Ghana-Cedi
Mar-06,0.9163,Ghana-Cedi
Apr-06,0.914,Ghana-Cedi
May-06,0.9153,Ghana-Cedi
Jun-06,0.916,Ghana-Cedi
Jul-06,0.9225,Ghana-Cedi
Aug-06,0.92,Ghana-Cedi
Sep-06,0.923,Ghana-Cedi
Oct-06,0.9243,Ghana-Cedi
Nov-06,0.9214,Ghana-Cedi
Dec-06,0.9223,Ghana-Cedi
Jan-07,0.921,Ghana-Cedi
Feb-07,0.9295,Ghana-Cedi
Mar-07,0.9263,Ghana-Cedi
Apr-07,0.927,Ghana-Cedi
May-07,0.9276,Ghana-Cedi
Jun-07,0.9267,Ghana-Cedi
Jul-07,0.9307,Ghana-Cedi
Aug-07,0.9405,Ghana-Cedi
Sep-07,0.9485,Ghana-Cedi
Oct-07,0.9625,Ghana-Cedi
Nov-07,0.9855,Ghana-Cedi
Dec-07,0.9645,Ghana-Cedi
Jan-08,0.9688,Ghana-Cedi
