STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,YearMonth,monthly_avg_temp
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-01,0,80,91,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-02,0,81,92,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-03,0,82,NA,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-04,0,81,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-05,0,79,89,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-06,0,83,90,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-07,0,82,NA,78,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-08,0,82,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-09,0,79,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-10,0,82,NA,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-11,0,83,NA,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-12,0,81,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-13,0,81,NA,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-14,0,83,NA,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-15,0,80,91,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-16,0,81,NA,78,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-17,0,82,88,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-18,0,85,90,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-19,0,83,NA,77,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-20,0,84,90,77,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-21,0,83,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-22,0.39,83,NA,78,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-24,0,81,NA,75,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-25,0,78,NA,71,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-26,0,80,NA,NA,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-27,0,82,NA,73,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-28,0,81,NA,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-29,0,81,NA,72,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-30,0,82,NA,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-31,0,81,92,76,1990-01,81.48484848484848
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-01,0,83,NA,78,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-02,0,83,NA,79,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-03,0,81,90,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-04,0,83,92,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-05,0,83,NA,77,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-06,0,84,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-07,0,83,91,76,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-08,0,81,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-09,0,81,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-10,0,79,NA,74,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-11,0,85,92,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-12,0,85,NA,76,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-13,0,82,94,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-14,0,81,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-15,0,84,NA,76,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-16,0,86,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-17,0,84,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-18,0.01,83,NA,79,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-19,0,76,88,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-20,0.2,76,89,70,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-21,0,82,NA,75,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-22,0,82,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-23,0,81,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-24,0.04,82,NA,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-25,0,84,92,74,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-26,0,85,92,NA,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-27,0,85,NA,75,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-28,0,83,NA,76,1990-02,81.73529411764706
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-01,0,83,92,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-02,0,83,NA,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-03,0,82,NA,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-04,0,84,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-05,0,85,NA,77,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-06,0,87,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-07,0,84,NA,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-08,0,85,NA,77,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-09,0,85,92,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-10,0,87,NA,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-11,0,87,NA,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-12,0,85,94,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-13,0,85,NA,78,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-14,0,85,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-15,0,87,NA,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-16,0,86,93,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-17,0,86,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-18,0,85,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-19,0,81,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-20,0,86,94,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-21,0,84,NA,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-22,0,82,NA,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-23,0,84,NA,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-24,0,85,93,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-25,0,85,NA,80,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-26,0,87,NA,80,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-27,0,85,93,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-28,0,86,92,79,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-29,0,85,93,80,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-30,0,86,93,NA,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-03-31,0.08,85,NA,71,1990-03,84.48936170212765
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-01,0,85,NA,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-02,0.08,78,NA,75,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-03,2.36,81,91,73,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-04,0,82,92,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-05,0,82,NA,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-06,0,85,92,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-07,0,83,90,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-08,0,84,90,78,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-09,0,81,NA,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-11,0,84,NA,NA,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-12,0,85,92,78,1990-04,81.86363636363636
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-04-13,0,84,92,NA,1990-04,81.86363636363636
