Year,production_in_ton
1961,415200
1962,428100
1963,427800
1964,580500
1965,415800
1966,381100
1967,423500
1968,327000
1969,414300
1970,406000
1971,470000
1972,415700
1973,343000
1974,385100
1975,397300
1976,326700
1977,277400
1978,268200
1979,280800
1980,277200
1981,246500
1982,202500
1983,168100
1984,166700
1985,194400
1986,226400
1987,188170
1988,246700
1989,295052
1990,293355
1991,241796
1992,312122
1993,254652
1994,288075
1995,403900
1996,403000
1997,322490
1998,409360
1999,434200
2000,436600
2001,389591
2002,340562
2003,497000
2004,737000
2005,740000
2006,734000
2007,614500
2008,680781
2009,710638
2010,632037.4
2011,700020
2012,879348
2013,835466
2014,858720
2015,858720
2016,858720
2017,969300
2018,904700
2019,811700
2020,800000
2021,1047385
2022,683300
2023,653700
